idp,nama_produk,harga,berat_gram,ukuran,gambar
101,Tahu putih Jombang,7500,800,kecil,gambar/101.jpg
102,tahu Putih Khas Kediri,8500,800,kecil,gambar/102.jpg
103,Tahu Putih Khas Malang,6500,800,kecil,gambar/103.jpg
104,tahu putih jombang,7500,800,kecil,gambar/104.jpg
105,Timus Bligo,11500,500,kecil,gambar/105.jpg
106,Timus Bligo Berkah,13000,500,sedang,gambar/106.jpg
107,Timus Crispy Etha,14500,500,sedang,gambar/107.jpg
108,Timus D9,10000,500,sedang,gambar/108.jpg
109,Timus Ungu Khas Salatiga,10000,500,sedang,gambar/109.jpg
110,Sois Kanzler Sapi,26000,250,kecil,gambar/110.jpg
111,Sosis Ayam Champ,13000,1000,kecil,gambar/111.jpg
112,Sosis Kanzler Sapi Cocktail,26000,250,kecil,gambar/112.jpg
113,Sosis Kanzler Cheese,23000,250,kecil,gambar/113.jpg
114,Hati Ayam Afco,14000,1000,besar,gambar/114.jpg
115,Hati Ayam De Duke,20000,1000,besar,gambar/115.jpg
116,Hati Ayam CP Chicken,15500,1000,besar,gambar/116.jpg
117,Hati Ayam Hal Chic,18500,1000,besar,gambar/117.jpg
118,Dada Ayam Afco,18500,1000,besar,gambar/118.jpg
119,Sosis Sapi Umiami,11500,1000,besar,gambar/119.jpg
120,Sosis Ayamn Umiami,10000,1000,besar,gambar/120.jpg
121,Sosis Ulir Cocktail Umiami,10000,1000,besar,gambar/121.jpg
122,Cireng Ayam Suwir,10500,400,besar,gambar/122.jpg
123,Cireng Rujak Kharisma,11000,400,sedang,gambar/123.jpg
124,Cireng Salju Bonju,10500,400,sedang,gambar/124.jpg
125,Cireng Rujak Bonju,11000,400,sedang,gambar/125.jpg
126,Cireng Original Kharisma,10000,400,sedang,gambar/126.jpg
127,Cireng Pedas Famiy Group,10000,400,sedang,gambar/127.jpg
128,Cireng Salju Family Group,11500,400,sedang,gambar/128.jpg
129,Sosis Ayam Mister Max,10000,1000,besar,gambar/129.jpg
130,Sosis Ayam Asimo,10000,1000,besar,gambar/130.jpg
131,Sosis Ayam Viva Dahlia,10000,1000,besar,gambar/131.jpg
132,Chicken Nugget Jofrans Crumble,11000,1000,besar,gambar/132.jpg
133,Chicken Nugget Kanzler,12000,1000,besar,gambar/133.jpg
134,Chicken Nugget So Eco,10000,1000,besar,gambar/134.jpg
135,Jamur Enoki Dytop,5000,100,besar,gambar/135.jpg
136,Jamur Enoki Apollo,4500,100,besar,gambar/136.jpg
137,Jamur Enoki Cendawan,5500,100,besar,gambar/137.jpg
138,Jamur Enoki Jepang,10000,100,besar,gambar/138.jpg
139,Chicken Katzu Katzu san,11500,500,besar,gambar/139.jpg
140,Chicken Katzu Sven Choice,11000,500,besar,gambar/140.jpg
141,Chicken Katzu Kanzler,13000,750,besar,gambar/141.jpg
142,Bakso Sapi Rajaraos,10000,1000,besar,gambar/142.jpg
143,Bakso Sapi Cap Semar,12000,1000,besar,gambar/143.jpg
144,Bakso Sapi Sumber Sari,18000,1000,besar,gambar/144.jpg
145,Bakso Sapi Kirana,22000,1000,besar,gambar/145.jpg
146,Roti Burger Juragan,6500,500,sedang,gambar/146.jpg
147,Roti Burger Bernardi,40500,500,sedang,gambar/147.jpg
148,Roti Burger Mini,26500,500,sedang,gambar/148.jpg
149,Lumpia Etha,10000,1000,besar,gambar/149.jpg
150,Lumpia Nauna,11000,1000,besar,gambar/150.jpg
151,Leonpia Khas Semarang,17500,1000,besar,gambar/151.jpg
152,Gethuk Etha isi 10,12000,650,besar,gambar/152.jpg
153,Gethuk Sokaraja isi 10,12000,300,besar,gambar/153.jpg
154,Gethuk Eco isi 10,10000,1000,besar,gambar/154.jpg
155,Dada Ayam So Good,28000,1000,besar,gambar/155.jpg
156,Dada Ayam Nindya utama,25000,1000,besar,gambar/156.jpg
